country,region,popSize
Switzerland,Switzerland,8544527
Switzerland,ZH,1520968
Switzerland,BE,1034977
Switzerland,LU,409557
Switzerland,UR,36433
Switzerland,SZ,159165
Switzerland,OW,37841
Switzerland,NW,43223
Switzerland,GL,40403
Switzerland,ZG,126837
Switzerland,FR,318714
Switzerland,SO,273194
Switzerland,BS,194766
Switzerland,BL,288132
Switzerland,SH,81991
Switzerland,AR,55234
Switzerland,AI,16145
Switzerland,SG,507697
Switzerland,GR,198379
Switzerland,AG,678207
Switzerland,TG,276472
Switzerland,TI,353343
Switzerland,VD,799145
Switzerland,VS,343955
Switzerland,NE,176850
Switzerland,GE,499480
Switzerland,JU,73419
Liechtenstein,LI,38553